"oid","courseDescription","courseNumber","defaultIndicator","linkedCourseNumbers","needApprovalIndicator","requiredIndicator","sequenceNumber","gradeLevel","academicTrackSelectionOid"
"ACR000002nzsdz","English II","ENG202","false","","false","false","10","10","ATS000002nzscn"
"ACR000002olA9q","EL Placement Needed","EL099","false","","false","false","20","10","ATS000002nzscn"
"ACR000002nzse0","French IV","FRE303","false","","false","false","70","10","ATS000002nzsco"
"ACR000002nzse1","Spanish V","SPA402","false","","false","false","200","10","ATS000002nzsco"
"ACR000002nzse2","French IV","FRE305","false","","false","false","80","10","ATS000002nzsco"
"ACR000002nzse3","French V","FRE401","false","","false","false","90","10","ATS000002nzsco"
"ACR000002nzse4","French V","FRE402","false","","false","false","100","10","ATS000002nzsco"
"ACR000002nzse5","Spanish I","SPA101","false","","false","false","110","10","ATS000002nzsco"
"ACR000002nzse6","Spanish I","SPA102","false","","false","false","120","10","ATS000002nzsco"
"ACR000002nzse7","Spanish II","SPA201","false","","false","false","130","10","ATS000002nzsco"
"ACR000002nzse8","French I","FRE101","false","","false","false","10","10","ATS000002nzsco"
"ACR000002nzse9","Spanish II","SPA202","false","","false","false","140","10","ATS000002nzsco"
"ACR000002nzseA","French I","FRE102","false","","false","false","20","10","ATS000002nzsco"
"ACR000002nzseB","Spanish III","SPA301","false","","false","false","150","10","ATS000002nzsco"
"ACR000002nzseC","French II","FRE201","false","","false","false","30","10","ATS000002nzsco"
"ACR000002nzseD","Spanish III","SPA302","false","","false","false","160","10","ATS000002nzsco"
"ACR000002nzseE","French II","FRE202","false","","false","false","40","10","ATS000002nzsco"
"ACR000002nzseF","Spanish IV","SPA303","false","","false","false","170","10","ATS000002nzsco"
"ACR000002nzseG","French III","FRE301","false","","false","false","50","10","ATS000002nzsco"
"ACR000002nzseH","Spanish IV","SPA304","false","","false","false","180","10","ATS000002nzsco"
"ACR000002nzseI","French III","FRE302","false","","false","false","60","10","ATS000002nzsco"
"ACR000002nzseJ","Spanish V","SPA401","false","","false","false","190","10","ATS000002nzsco"
"ACR000002nzseK","Algebra I","MTH101","false","","false","false","10","10","ATS000002nzscp"
"ACR000002nzseL","Geometry","MTH103","false","","false","false","30","10","ATS000002nzscp"
