"oid","selectionName","subjectArea","maxSelections","minSelections","allowAlternates","sequenceNumber","instructions","gradeLevel","academicTrackOid"
"ATS000002nzscn","English - Semester 2","English - Semester 2","1","1","false","16","<p>As a sophomore you must enroll in English II. To read more about the English II curriculum please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>.</p><p>If English is your second langauge, please select EL Placement Needed.</p>","10","ATR000002nzscf"
"ATS000002nzsco","World Languages - All Year","World Lang. - Sem. 1 & 2","2","0","true","51","<p>Please be sure to select both semesters of your world language course which are listed below. Odd numbered courses are semester 1; even are semester 2.</p><p>To learn more about our World Language courses please click <a href=""https://docs.google.com/document/d/1YTibTDItY70180jYwZZJaZNc1w9T7CYUMCFktdPaoh0/edit"" target=""_blank"">here</a>.</p>","10","ATR000002nzscf"
"ATS000002nzscp","Math - All Year","Math - Semester 1 & 2","3","0","false","21","<p>Math courses are year-long and are typically taken in this order: Algebra I, Geometry, Algebra II, Advanced Math or Precalculus, AP Calculus or AP Statistics. Be sure to select both semesters of the course you choose to take. (First semester courses end in an odd number; second semester, even). Computer Science Discoveries is a semester-long elective that is offered both semesters.</p><p>Interlochen requires two years of math to graduate, but most colleges require three to four years of math, including at least one year beyond Algebra II.</p><p>If you have completed Algebra II, please read the course descriptions for Advanced Math and Precalculus to determine which course is the best option for you.</p><p>To read more about the Math department click <a href=""https://docs.google.com/document/d/1rtHhjuMD5B0eAQWAq-s5UWtB4WDHNxSQk-TNRyg023c/edit"" target=""_blank"">here</a>.</p><p> </p>","10","ATR000002nzscf"
"ATS000002nzscq","History - Semester 2","History - Semester 2","1","0","false","36","<p>If you did not take a World History class as a freshman or over the summer, you must select World History.</p><p>If you took World History last year, please sign up for Biology. If you took both World History and Biology as a freshman, please indicate so in the <strong>Notes to Counselor</strong> section. Your counselor will help you determine an alternative course plan.</p><p>To read more about the History department please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p>","10","ATR000002nzscf"
"ATS000002nzscr","Science - All Year","Science - Semester 1 & 2","2","0","true","41","<p>Most sophomores will take World History instead of a science. However, if you have not taken Biology and have space in your schedule, you should take Biology. If you are currently enrolled in Algebra II or higher, you are eligible for Chemistry or Physics.  </p><p>To read more about the Science department's offerings please click <a href=""https://docs.google.com/document/d/1H-x-y3lLhkRrpTfK4gjZmCGPx-fLmnhU7ZqDlOQzNoU/edit"" target=""_blank"">here</a>.</p><p>If you are selecting a science course, be sure to select both semesters of the course listed below. Odd numbered courses are semester 1; even are semester 2.</p>","10","ATR000002nzscf"
"ATS000002nzscs","History - Semester 1","History - Semester 1","1","0","false","31","<p>If you did not take a World History class as a freshman or over the summer, you must select World History.</p><p>If you took World History last year, please sign up for Biology. If you took both World History and Biology as a freshman, please indicate so in the <strong>Notes to Counselor</strong> section. Your counselor will help you determine an alternative course plan.</p><p>To read more about the History department please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p>","10","ATR000002nzscf"
"ATS000002nzsct","Creative Writing Electives","Cr. Writ. Elect - Sem1&2","2","0","false","81","<p>You are eligible to take any one of the following electives.  However, your ability to take any of these courses may depend upon available space. The odd numbered courses are first semester and the even numbered courses are second semester.</p><p>To read more about Creative Writing courses please click<a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank""> here</a>.</p>","10","ATR000002nzscf"
"ATS000002nzscu","Dance Electives - Sem. 1 & 2","Dance Elect - Sem. 1 & 2","6","0","false","60","<p>Dance 101 is semester 1 and Dance 102 is semester 2.</p><p><br /> </p>","10","ATR000002nzscf"
"ATS000002nzscv","Comparative Arts Required Courses - year long","Arts Required - Sem 1 & 2","2","2","false","61","<p>As a Comparative Arts sophomore you must select both semesters of The Creative Process: Comparative Arts Seminar.</p>","10","ATR000002nzscf"
"ATS000002nzscw","MPA Electives - year long","MPA Elect - Sem 1 & 2","2","0","false","121","<p>Story is first semester and Great Directors is second semester.</p><p>To read more about Motion Picture Arts courses please click <a href=""https://docs.google.com/document/d/116uodPCsBYXq9YNPb0nIrcWHfbDdlIifF_A5TzxqFYA/edit"" target=""_blank"">here</a>.</p>","10","ATR000002nzscf"
